Початок тривоги,Гео,Тривалість тривоги
2024-02-09 19:29:42+00:00,"['маяк', 'южн', 'сергеевк', 'курортн', 'білгород', 'одес', 'доброслав', 'молдаванк', 'одесс', 'доброслав', 'очаков', 'одес', 'доброслав', 'поскот', 'центр', 'центр', 'пересып', 'аркад', 'лиманк', 'одесс', 'фонтанк', 'одес', 'вилков', 'одес', 'одес', 'ізмаїл', 'рен', 'кіл', 'ізмаїл']",292
2024-02-10 02:50:15+00:00,"['білгород', 'рен', 'кіл', 'ізмаїл', 'рен', 'ізмаїл']",86
2024-02-10 21:04:43+00:00,"['заток', 'заток', 'татарбунар', 'белгород', 'одес', 'роздільн', 'одес', 'одес', 'одесс', 'одес', 'одес', 'одес', 'вінниц']",158
2024-02-22 19:10:36+00:00,"['заток', 'вилков', 'заток', 'курортн', 'ізмаїл', 'аккерман', 'сергіївк', 'заток', 'чабанк', 'одес', 'поскот', 'заток']",164
2024-02-23 18:43:33+00:00,"['білгород', 'чорноморськ', 'одес', 'чабанк', 'одес', 'южн', 'усатов', 'пересип']",103
2024-02-26 17:55:54+00:00,"['вінниц', 'южн']",118
2024-02-27 19:26:15+00:00,"['сергіївк', 'аккерман', 'маяк', 'южн', 'поскот', 'чабанк', 'гідропорт']",103
2024-03-01 22:37:50+00:00,"['одес', 'южн', 'коблев', 'пересип', 'одес', 'южн', 'одес', 'чорноморськ', 'фонтанк', 'одес', 'одес', 'чорноморськ']",66
2024-03-04 21:33:57+00:00,"['одес', 'одес', 'фонтанк', 'чабанк', 'поскот', 'поскот', 'дачн', 'чорноморськ', 'фонтанк', 'поскот', 'таїров', 'дачн', 'таїров', 'аркад', 'авангард', 'аркад', 'центр', 'центр', 'аркад', 'фонтанк', 'одес', 'фонтанк', 'поскот', 'аркад', 'центр', 'поскот', 'усатов', 'одес', 'фонтанк', 'гідропорт', 'таїров', 'поскот', 'фонтанк', 'одес', 'фонтанк', 'одес', 'одес', 'одес', 'одес', 'фонтанк', 'южн', 'фонтанк', 'аркад', 'фонтанк', 'аркад', 'центр', 'центр', 'фонтанк', 'поскот', 'балк']",194
2024-03-05 20:33:34+00:00,"['березівк', 'центр', 'поскот', 'аркад', 'центр', 'пересип', 'поскот', 'центр', 'ланжерон', 'одес', 'чорноморськ', 'поскот', 'аркад', 'центр', 'лиманк', 'центр', 'поскот', 'центр', 'аркад', 'авангард', 'хлібодарськ', 'центр', 'усатов', 'одес', 'коблев']",152
2024-03-05 23:07:42+00:00,"['коблев', 'одес', 'лиманк', 'центр', 'поскот', 'южн', 'поскот', 'одес', 'дальник', 'одес']",79
2024-03-07 17:42:23+00:00,['санжейк'],12
2024-03-07 20:31:57+00:00,"['заток', 'сергіївк', 'сергіївк', 'каролін', 'бугаз', 'заток', 'маяк', 'березівк', 'чорноморськ', 'одес', 'одес', 'березівк', 'одес', 'одес', 'заток', 'коблев', 'черьомушк', 'аккерман', 'аркад', 'чабанк', 'южн', 'великодолинськ', 'одес', 'заток', 'березівк', 'любашівк', 'санжейк', 'чорноморськ', 'таїров']",152
2024-03-09 20:56:33+00:00,"['одес', 'чорноморськ', 'одес', 'одесс', 'центр', 'котовськог', 'дачн', 'одесс']",160
2024-03-11 00:29:32+00:00,"['фонтанк', 'аркад', 'поскот', 'фонтанк', 'центр', 'одес', 'дальник', 'поскот', 'лузанівк', 'поскот', 'центр', 'авангард', 'центр', 'фонтанк', 'поскот', 'центр', 'балк', 'центр', 'аркад', 'поскот', 'лузанівк', 'гідропорт', 'фонтанк', 'одес', 'поскот', 'центр', 'центр', 'центр', 'поскот', 'центр', 'фонтанк', 'чорноморськ', 'центр', 'лиманк', 'таїров', 'дачн', 'центр', 'одес', 'центр', 'слободк']",94
2024-03-11 19:54:45+00:00,"['березівк', 'южноукраїнськ', 'черноморск', 'березовк']",97
2024-03-14 17:17:53+00:00,['березівк'],78
2024-03-16 21:17:11+00:00,"['коблев', 'одесс', 'фонтанк', 'молдаванк', 'чабанк', 'фонтанк', 'одес', 'центр', 'одесс', 'одес', 'аркад', 'слободк', 'таиров', 'аркад', 'одес', 'усатов', 'дачн', 'одесс', 'фонтанк', 'центр', 'одесс']",192
2024-03-17 17:29:57+00:00,['березівк'],72
2024-03-19 14:08:56+00:00,['одес'],83
2024-03-21 21:30:41+00:00,"['коблев', 'березівк', 'любашівк', 'балт', 'березівк', 'одес', 'татарбунар', 'вилков', 'татарбунар', 'одес', 'маяк', 'одес', 'одес', 'таїров', 'аркад', 'біляївк', 'гідропорт', 'поскот', 'центр', 'центр', 'поскот', 'шкільн', 'южн', 'чорноморськ', 'одес', 'центр', 'центр', 'вознесенськ']",450
2024-03-23 18:36:51+00:00,['одес'],46
2024-03-23 19:45:43+00:00,"['миколаїв', 'одес']",83
2024-03-23 21:19:35+00:00,"['одесс', 'одесс']",164
2024-03-24 21:22:43+00:00,"['южн', 'фонтанк', 'поскот', 'центр', 'фонтанк', 'очаков']",84
2024-03-26 00:20:50+00:00,"['коблев', 'южн']",88
2024-03-28 00:37:39+00:00,"['одес', 'центр']",32
2024-03-30 00:03:00+00:00,"['лебедівк', 'маяк', 'сергіївк', 'одес', 'дачн', 'одес', 'маяк', 'авангард', 'усатов', 'пересип']",74
2024-03-30 20:21:47+00:00,"['чорноморськ', 'центр', 'фонтанк', 'чабанк', 'білгород', 'одес', 'южн', 'поскот', 'центр']",107
2024-04-05 00:23:00+00:00,"['заток', 'лебедівк', 'курортн', 'чорноморськ', 'білгород', 'каролін', 'бугаз', 'маяк', 'чорноморськ', 'санжейк']",61
2024-04-06 10:04:00+00:00,['чорноморськ'],30
2024-04-07 18:03:37+00:00,"['одес', 'одес', 'одес', 'одес', 'одес', 'заток']",31
2024-04-07 20:47:13+00:00,"['білгород', 'одес', 'чорноморськ', 'чорноморськ']",48
2024-04-08 22:25:19+00:00,"['лебедівк', 'чорноморськ', 'одес', 'маяк', 'одес', 'чорноморськ']",106
